id,champion1_team1,champion2_team1,champion3_1,champion4_team1,champion5_team1,champion1_team2,champion2_team2,champion3_team2,champion4_team2,champion5_team2,winner
20,Kalista,Nautilus,Shen,Volibear,Zed,Ahri,Jhin,Kindred,Rammus,Yasuo,team2
21,Fizz,Kindred,Olaf,Tristana,Tryndamere,Akali,Caitlyn,Katarina,Lux,Udyr,team1
22,Jhin,Nunu & Willump,Soraka,Urgot,Yone,Ahri,Caitlyn,Karthus,Kennen,Vi,team1
23,Diana,Lux,Miss Fortune,Pantheon,Yasuo,Caitlyn,Ekko,Fiora,Irelia,Trundle,team1
24,Ashe,Garen,Gnar,Volibear,Ziggs,Lucian,Nami,Nocturne,Shen,Zed,team2
25,Ahri,Kog'Maw,Nasus,Neeko,Tryndamere,Miss Fortune,Nocturne,Ryze,Sejuani,Urgot,team2
26,Darius,Heimerdinger,Kalista,Master Yi,Soraka,Lucian,Sejuani,Urgot,Warwick,Yone,team2
27,Gangplank,Ivern,Olaf,Volibear,Ziggs,Master Yi,Miss Fortune,Sett,Teemo,Yone,team2
28,Fiora,Lucian,Nami,Skarner,Veigar,Ekko,Kai'Sa,Mordekaiser,Thresh,Yone,team1
29,Bard,Olaf,Senna,Shen,Viktor,Anivia,Caitlyn,Fiora,Warwick,Xerath,team2
30,Fiora,Jinx,Morgana,Vladimir,Warwick,Camille,Graves,Jhin,Soraka,Zoe,team2
31,Aatrox,LeBlanc,Morgana,Rengar,Vayne,Ashe,Fiora,Thresh,Viktor,Warwick,team1
32,Brand,Diana,Kayn,Renekton,Vayne,Cassiopeia,Evelynn,Fiora,Kai'Sa,Nautilus,team2
33,Caitlyn,Fiora,Hecarim,Karma,Lux,Draven,Jax,Lillia,Morgana,Rumble,team1
34,Caitlyn,Graves,Karma,Orianna,Renekton,Hecarim,Janna,Lucian,Ornn,Swain,team2
35,Ashe,Fiora,Kha'Zix,Nautilus,Swain,Ezreal,Hecarim,Kassadin,Shen,Vladimir,team2
36,Irelia,Janna,Kayle,Tristana,Vi,Lulu,Malphite,Neeko,Sett,Vayne,team2
37,Kayle,Pantheon,Teemo,Veigar,Vi,Blitzcrank,Caitlyn,Ekko,Lissandra,Sett,team1
38,Ashe,Lee Sin,Miss Fortune,Neeko,Senna,Kassadin,Kayle,Lillia,Lux,Sivir,team1
39,Ashe,Azir,Fiora,Soraka,Zac,Kayle,Sett,Sivir,Thresh,Yone,team1
40,Akali,Aphelios,Galio,Garen,Jax,Kennen,Lux,Master Yi,Mordekaiser,Yasuo,team1
41,Ashe,Blitzcrank,Ekko,Nunu & Willump,Sett,Master Yi,Morgana,Pantheon,Sett,Xayah,team1
42,Aphelios,Jhin,Lux,Sylas,Ziggs,Darius,Lux,Tristana,Varus,Yasuo,team2
43,Aphelios,Lux,Yone,Zoe,Zyra,Akali,Karthus,Lissandra,Morgana,Sett,team2
44,Amumu,Malphite,Miss Fortune,Pyke,Qiyana,Fiora,Kai'Sa,Lee Sin,Sett,Volibear,team1
45,Ahri,Amumu,Miss Fortune,Mordekaiser,Yasuo,Fiora,Miss Fortune,Veigar,Volibear,Warwick,team1
46,Caitlyn,Morgana,Teemo,Warwick,Zyra,Cho'Gath,Jhin,Lissandra,Pantheon,Thresh,team1
47,Malphite,Master Yi,Sett,Xayah,Yone,Karma,Kayle,Sona,Tristana,Warwick,team1
48,Kai'Sa,Kha'Zix,Morgana,Ornn,Yone,Jinx,Karthus,Nocturne,Thresh,Zed,team2
49,Akali,Fiora,Lee Sin,Senna,Vel'Koz,Kai'Sa,Lillia,Nautilus,Riven,Yasuo,team2
50,Jax,Kayn,Sett,Twitch,Xin Zhao,Caitlyn,Dr. Mundo,Fiddlesticks,Pantheon,Yasuo,team1
51,Caitlyn,Kha'Zix,Pantheon,Wukong,Yuumi,Akali,Jhin,Kayn,Lulu,Sett,team1
52,Akali,Amumu,Blitzcrank,Irelia,Jhin,Brand,Camille,Kha'Zix,Orianna,Sivir,team1
53,Akali,Ezreal,Jarvan IV,Nami,Tryndamere,Jinx,Karma,Renekton,Shen,Yone,team2
54,Kai'Sa,Lillia,Lulu,Tristana,Veigar,Gnar,Jhin,Kha'Zix,Thresh,Vladimir,team1
55,Blitzcrank,Jax,Miss Fortune,Tryndamere,Zoe,Garen,Jinx,Varus,Yone,Zyra,team2
56,Alistar,Jax,Miss Fortune,Nidalee,Swain,Pyke,Syndra,Tristana,Vladimir,Warwick,team2
57,Hecarim,Irelia,Jinx,Nautilus,Riven,Irelia,Pyke,Shaco,Varus,Veigar,team2
58,Draven,Gnar,LeBlanc,Lee Sin,Shen,Akali,Draven,Nunu & Willump,Rakan,Vayne,team1
59,LeBlanc,Ornn,Rammus,Thresh,Varus,Jhin,Leona,Olaf,Renekton,Twisted Fate,team1
60,Dr. Mundo,Kai'Sa,Morgana,Xin Zhao,Yasuo,Ekko,Ezreal,Lee Sin,Renekton,Sona,team1
61,Darius,Heimerdinger,Jhin,Lee Sin,Lux,Galio,Jax,Kayle,Malphite,Varus,team1
62,Annie,Caitlyn,Hecarim,Thresh,Vladimir,Kai'Sa,Neeko,Ryze,Udyr,Yorick,team1
63,Ashe,Caitlyn,Leona,Nocturne,Viktor,Annie,Hecarim,Vladimir,Yasuo,Yone,team1
64,Ashe,Kayn,Leona,Vladimir,Yone,Jax,Jhin,Kayle,Lux,Senna,team1
65,Caitlyn,Kha'Zix,Veigar,Volibear,Yone,Ashe,Lux,Senna,Shaco,Vladimir,team2
66,Kalista,Leona,Malphite,Master Yi,Yasuo,Jhin,Kindred,Lux,Pyke,Yone,team1
67,Alistar,Caitlyn,Jax,Lux,Teemo,Miss Fortune,Riven,Vel'Koz,Yasuo,Zac,team2
68,Jhin,Kai'Sa,Lux,Teemo,Veigar,Ahri,Caitlyn,Hecarim,Rek'Sai,Zyra,team2
69,Graves,Leona,Malzahar,Teemo,Tryndamere,Ahri,Akali,Jinx,Leona,Shaco,team2
70,Ashe,Gangplank,Jinx,Lee Sin,Morgana,Kai'Sa,Lee Sin,Vladimir,Yone,Yuumi,team2
71,LeBlanc,Rakan,Shaco,Xayah,Yone,Braum,Caitlyn,Kha'Zix,Lux,Tryndamere,team2
72,Ahri,Graves,Mordekaiser,Morgana,Xayah,Gragas,Lucian,Nautilus,Vladimir,Yasuo,team2
73,Brand,Gragas,Hecarim,Sivir,Zed,Caitlyn,Ekko,Jax,Pyke,Renekton,team2
74,Akali,Janna,Jhin,Kayn,Maokai,Irelia,Kindred,Morgana,Xayah,Zed,team1
75,Janna,Jhin,Kha'Zix,Poppy,Zed,Brand,Cho'Gath,Kayle,Lucian,Qiyana,team1
76,Ashe,Blitzcrank,Illaoi,Sejuani,Yasuo,Akali,Graves,Kai'Sa,Mordekaiser,Senna,team2
77,Kai'Sa,Lulu,Sejuani,Shen,Vladimir,Ashe,Graves,Irelia,Sett,Sona,team2
78,Ashe,Gnar,Irelia,Janna,Shaco,Garen,Kai'Sa,Kayn,Orianna,Senna,team1
79,Ashe,Azir,Lulu,Olaf,Singed,Ahri,Caitlyn,Kennen,Senna,Sett,team2
80,Darius,Lucian,Lulu,Malzahar,Nunu & Willump,Jax,Jinx,Kindred,Lux,Yuumi,team2
81,Ashe,Elise,Orianna,Rakan,Volibear,Fizz,Irelia,Lucian,Nami,Warwick,team2
82,Ezreal,Katarina,Lulu,Ornn,Sett,Bard,Darius,Kai'Sa,Sylas,Zac,team2
83,Akali,Hecarim,Renekton,Thresh,Twitch,Kayn,Leona,Tristana,Wukong,Yasuo,team2
84,Katarina,Leona,Lucian,Wukong,Zac,Elise,Garen,Janna,Sivir,Sylas,team1
85,Braum,Elise,Lucian,Renekton,Riven,Ashe,Graves,LeBlanc,Leona,Ornn,team2
86,Ashe,Lulu,Renekton,Warwick,Yasuo,Jinx,Master Yi,Pantheon,Poppy,Ziggs,team1
87,Jinx,Lulu,Master Yi,Shen,Sylas,Ezreal,Fiora,Hecarim,Lux,Ornn,team2
88,Gangplank,Jhin,Leona,Neeko,Shyvana,Blitzcrank,Ezreal,Kha'Zix,Vladimir,Yone,team2
89,Draven,Graves,Jax,Morgana,Ryze,Master Yi,Miss Fortune,Mordekaiser,Senna,Zed,team2
90,Ahri,Draven,Ekko,Graves,Leona,Ezreal,Master Yi,Nasus,Yone,Zyra,team1
91,Fizz,Miss Fortune,Rammus,Senna,Sylas,Ahri,Blitzcrank,Ekko,Jhin,Tahm Kench,team2
92,Camille,Gragas,Jhin,Leona,Yasuo,Amumu,Jax,Katarina,Lux,Miss Fortune,team2
93,Ekko,Galio,Kai'Sa,Lux,Shen,Jhin,Kayle,Lee Sin,Vel'Koz,Zed,team1
94,Aphelios,Elise,Leona,Lucian,Yone,Camille,Jhin,Lee Sin,Nautilus,Yasuo,team2
95,Jhin,Neeko,Shen,Thresh,Volibear,Kai'Sa,Katarina,Lux,Riven,Xin Zhao,team1
96,Caitlyn,Fiddlesticks,Galio,Pantheon,Urgot,Illaoi,Lee Sin,Soraka,Tristana,Yasuo,team2
97,Diana,Jhin,Nunu & Willump,Soraka,Yasuo,Ekko,Jarvan IV,Kai'Sa,Nami,Singed,team2
98,Ekko,Illaoi,Sett,Xayah,Xerath,Ahri,Hecarim,Senna,Swain,Urgot,team2
99,Katarina,Lee Sin,Lux,Sivir,Urgot,Ashe,Ekko,Garen,Nocturne,Yuumi,team2
100,Ashe,Ekko,Mordekaiser,Soraka,Vel'Koz,Katarina,Kindred,Miss Fortune,Urgot,Yuumi,team1
101,Caitlyn,Garen,Lee Sin,Morgana,Rumble,Kayn,Malphite,Vayne,Yasuo,Yuumi,team2
102,Jinx,Lee Sin,Mordekaiser,Orianna,Xerath,Caitlyn,Sion,Sylas,Volibear,Yuumi,team2
103,Caitlyn,Ekko,Kayn,Poppy,Yuumi,Draven,Fizz,Garen,Malphite,Shen,team2
104,Ashe,Fiora,Irelia,Kayn,Morgana,Ekko,Elise,Illaoi,Lucian,Taric,team1
105,Dr. Mundo,Fiddlesticks,Kai'Sa,Pyke,Viktor,Ashe,Ezreal,LeBlanc,Lulu,Teemo,team2
106,Katarina,Kayn,Renekton,Yasuo,Yuumi,Jax,Kai'Sa,Rek'Sai,Thresh,Veigar,team1
107,Brand,Evelynn,Lux,Pantheon,Tristana,Ashe,Brand,Kha'Zix,Renekton,Zoe,team1
108,Lux,Miss Fortune,Nocturne,Teemo,Tristana,Kha'Zix,Rakan,Sylas,Vayne,Yone,team1
109,Jinx,Riven,Vel'Koz,Warwick,Yasuo,Garen,Kayle,Lee Sin,Nautilus,Senna,team1
110,Darius,Jax,Katarina,Lucian,Thresh,Blitzcrank,Diana,Kai'Sa,Teemo,Vi,team2
111,Graves,Kai'Sa,Malphite,Sylas,Vladimir,Ashe,Blitzcrank,Garen,Kayn,Zed,team2
112,Akali,Blitzcrank,Garen,Jhin,Malphite,Lucian,Mordekaiser,Pyke,Talon,Vi,team2
113,Bard,Corki,Ekko,Garen,Kai'Sa,Ashe,Caitlyn,Kayn,Lux,Renekton,team1
114,Diana,Illaoi,Jax,Jinx,Lux,Fiddlesticks,Kai'Sa,Mordekaiser,Volibear,Xin Zhao,team2
115,Caitlyn,Lux,Poppy,Rammus,Vel'Koz,Ashe,Jax,Kayle,Zed,Zyra,team1
116,Mordekaiser,Morgana,Vladimir,Volibear,Xayah,Caitlyn,Diana,Lillia,Sett,Veigar,team2
117,Ashe,Lux,Vel'Koz,Warwick,Wukong,Cho'Gath,Evelynn,Lissandra,Lux,Pantheon,team1
118,Cassiopeia,Ezreal,Pyke,Shaco,Zed,Annie,Illaoi,Malphite,Miss Fortune,Sett,team1
119,Ashe,Ekko,Galio,Sett,Thresh,Ashe,Garen,Hecarim,Pyke,Ziggs,team1
120,Ahri,Jhin,Kha'Zix,Morgana,Sett,Ashe,Kennen,Shaco,Teemo,Yasuo,team2
121,Jhin,Mordekaiser,Neeko,Olaf,Yasuo,Galio,Jax,Master Yi,Miss Fortune,Teemo,team1
122,Caitlyn,Heimerdinger,Malphite,Master Yi,Senna,Diana,Miss Fortune,Nautilus,Sett,Warwick,team2
123,Karma,Orianna,Rengar,Shen,Twitch,Cassiopeia,Nautilus,Riven,Shyvana,Volibear,team2
124,Camille,Jhin,Lee Sin,Soraka,Volibear,Azir,Master Yi,Mordekaiser,Nautilus,Volibear,team1
125,Ekko,Hecarim,Miss Fortune,Pantheon,Yasuo,Illaoi,Kai'Sa,Leona,Twisted Fate,Volibear,team2
126,Anivia,Janna,Vi,Vladimir,Yone,Evelynn,Morgana,Nasus,Xayah,Zed,team2
127,Ahri,Camille,Jax,Kai'Sa,Morgana,Annie,Sona,Urgot,Vi,Yone,team2
128,Fiora,Jinx,Lillia,Neeko,Yasuo,Ezreal,Nasus,Nunu & Willump,Soraka,Yone,team1
129,Fiora,Jhin,Lillia,Lux,Morgana,Ahri,Janna,Malphite,Sivir,Yone,team2
130,Kalista,Karma,Lillia,Malphite,Sett,Fiora,Pyke,Xayah,Yone,Zac,team1
131,Alistar,Jhin,Quinn,Yone,Zac,Gnar,Jinx,Morgana,Volibear,Zed,team1
132,Fiora,Master Yi,Sett,Sylas,Yasuo,Darius,Miss Fortune,Vi,Warwick,Zed,team1
133,Sett,Tristana,Udyr,Volibear,Xerath,Kha'Zix,Miss Fortune,Pantheon,Teemo,Volibear,team1
134,Garen,Lux,Master Yi,Miss Fortune,Sylas,Ekko,Fizz,Jayce,Miss Fortune,Riven,team1
135,Ashe,Gangplank,Master Yi,Miss Fortune,Tryndamere,Aatrox,Poppy,Rakan,Xayah,Zoe,team1
136,Blitzcrank,Caitlyn,Kayn,Miss Fortune,Mordekaiser,Miss Fortune,Riven,Sett,Zed,Zyra,team2
137,Caitlyn,Ivern,Maokai,Veigar,Vladimir,Akali,Master Yi,Miss Fortune,Vayne,Vladimir,team1
138,Caitlyn,Master Yi,Nasus,Orianna,Thresh,Blitzcrank,Miss Fortune,Neeko,Shyvana,Varus,team2
139,Jinx,Lux,Nasus,Sett,Sivir,Caitlyn,Lux,Tristana,Wukong,Yone,team2
140,Lux,Master Yi,Miss Fortune,Nautilus,Urgot,Ezreal,Graves,Master Yi,Morgana,Poppy,team1
141,Irelia,Sivir,Tahm Kench,Vel'Koz,Volibear,Amumu,Caitlyn,Lulu,Morgana,Sett,team1
142,Caitlyn,Hecarim,Ryze,Vayne,Vel'Koz,Garen,Kha'Zix,Morgana,Twitch,Volibear,team1
143,Ahri,Kayn,Senna,Sett,Varus,Galio,Ivern,Nasus,Tristana,Vel'Koz,team1
144,Graves,Karma,Kog'Maw,Lux,Renekton,Cho'Gath,Hecarim,Tristana,Vel'Koz,Yasuo,team2
145,Jhin,Nami,Rengar,Sett,Yone,Ashe,Diana,Dr. Mundo,Graves,Vel'Koz,team2
146,Ashe,Camille,Hecarim,Urgot,Vel'Koz,Jax,Lux,Miss Fortune,Orianna,Ornn,team1
147,Fiora,Jhin,Sett,Twisted Fate,Vel'Koz,Caitlyn,Kha'Zix,Mordekaiser,Morgana,Viktor,team1
148,Irelia,Sylas,Tristana,Tryndamere,Vel'Koz,Caitlyn,Dr. Mundo,Fizz,Malphite,Volibear,team1
149,Ahri,Bard,Miss Fortune,Rengar,Teemo,Akali,Alistar,Gragas,LeBlanc,Lucian,team2
150,Graves,Senna,Tahm Kench,Urgot,Ziggs,Dr. Mundo,Irelia,Jhin,Pyke,Warwick,team2
151,Alistar,Jinx,Kayle,Veigar,Vi,Annie,Caitlyn,Master Yi,Pyke,Shen,team2
152,Jhin,Kayle,Kayn,Neeko,Pyke,Jinx,Lee Sin,Leona,Rumble,Sylas,team2
153,Jhin,Lulu,Master Yi,Ornn,Zoe,Fizz,Nami,Teemo,Varus,Warwick,team1
154,Akali,Lux,Vayne,Zac,Zed,Jhin,Qiyana,Senna,Vladimir,Volibear,team1
155,Camille,Kayn,Miss Fortune,Senna,Yone,Jhin,Nautilus,Skarner,Urgot,Yasuo,team2
156,Jinx,Sion,Skarner,Ziggs,Zyra,Amumu,Bard,Dr. Mundo,Ezreal,Ryze,team1
157,Aurelion Sol,Caitlyn,Garen,Lux,Sett,Irelia,Jinx,Kayn,Nautilus,Tahm Kench,team2
158,Ashe,Kha'Zix,Nami,Urgot,Zoe,Garen,Hecarim,Janna,Lucian,Twisted Fate,team2
159,Akali,Ashe,Ekko,Nami,Shen,Hecarim,Lux,Miss Fortune,Morgana,Urgot,team1
160,Jhin,Lux,Malphite,Shaco,Vel'Koz,Ezreal,Kayn,Riven,Thresh,Veigar,team1
161,Illaoi,Kalista,Lulu,Master Yi,Yasuo,Ashe,Janna,Lee Sin,Mordekaiser,Yone,team2
162,Brand,Ekko,Ezreal,Lux,Volibear,Akali,Garen,Jinx,Lee Sin,Taric,team1
163,Evelynn,Kayle,Lucian,Sett,Yasuo,Ekko,Kog'Maw,Shen,Soraka,Sylas,team2
164,Jhin,Lux,Poppy,Yuumi,Zac,Akali,Ashe,Elise,Renekton,Sett,team1
165,Draven,Evelynn,Illaoi,Senna,Yasuo,Lillia,Lux,Maokai,Miss Fortune,Soraka,team1
166,Ahri,Hecarim,Miss Fortune,Senna,Urgot,Ashe,Braum,Lux,Sejuani,Yorick,team2
167,Caitlyn,Diana,Lee Sin,Poppy,Senna,Ahri,Amumu,Ashe,Lux,Teemo,team2
168,Caitlyn,Fizz,Morgana,Yone,Yorick,Blitzcrank,Fiddlesticks,Miss Fortune,Poppy,Qiyana,team1
169,Fiora,Kai'Sa,Kayle,Morgana,Sett,Elise,Malphite,Neeko,Pyke,Zoe,team1
170,Kassadin,Maokai,Miss Fortune,Pyke,Urgot,Heimerdinger,Master Yi,Nautilus,Riven,Vayne,team2
171,Aatrox,Jax,Taliyah,Taric,Xayah,Hecarim,Heimerdinger,Jinx,Shen,Teemo,team1
172,Azir,Hecarim,Rengar,Sona,Varus,Kayle,Lux,Miss Fortune,Warwick,Xerath,team2
173,Blitzcrank,Irelia,Kai'Sa,Ornn,Volibear,Caitlyn,Kayle,Morgana,Sona,Xin Zhao,team1
174,Akali,Fiora,Lulu,Miss Fortune,Warwick,Draven,Hecarim,Orianna,Sona,Urgot,team1
175,Akali,Lee Sin,Lucian,Senna,Tahm Kench,Blitzcrank,Jhin,Kled,Shaco,Zoe,team2
176,Akali,Caitlyn,Nasus,Sona,Yone,Darius,Illaoi,Kai'Sa,Qiyana,Teemo,team2
177,Akali,Lucian,Lux,Shaco,Sylas,Ezreal,Jinx,Malphite,Pyke,Yone,team1
178,Gangplank,Graves,Janna,Kai'Sa,Veigar,Lillia,Olaf,Rakan,Xayah,Yone,team1
179,Camille,Kayn,Miss Fortune,Thresh,Yone,Akali,Ekko,Jhin,Leona,Maokai,team1
180,Jhin,Kayle,Kayn,Neeko,Pyke,Jinx,Lee Sin,Leona,Rumble,Sylas,team2
181,Jhin,Nunu & Willump,Shen,Thresh,Yasuo,Darius,Ekko,Jinx,Pyke,Twitch,team2
182,Galio,Illaoi,Pyke,Sejuani,Vayne,Alistar,Aphelios,Mordekaiser,Shaco,Yone,team2
183,Akali,Jinx,Ornn,Pantheon,Trundle,Ahri,Gnar,Lucian,Pyke,Shyvana,team2
184,Akali,Blitzcrank,Draven,Kayle,Kayn,Evelynn,Ezreal,Kayle,Zed,Ziggs,team2
185,Katarina,Pyke,Sett,Shaco,Tristana,Annie,Janna,Twitch,Vi,Yone,team2
186,Ekko,Jinx,Kayle,Orianna,Yasuo,Jhin,Olaf,Syndra,Tryndamere,Zyra,team1
187,Ashe,Darius,Senna,Sett,Shyvana,Lulu,Rengar,Vayne,Volibear,Yasuo,team1
188,Ashe,Lee Sin,Shen,Sona,Zed,Elise,Kayle,Vayne,Xerath,Yone,team1
189,Fizz,Kai'Sa,Leona,Master Yi,Yone,Draven,Elise,Sett,Viktor,Yorick,team2
190,Blitzcrank,Morgana,Sylas,Tristana,Zoe,Annie,Ashe,Irelia,Kayn,Lux,team1
191,Darius,Senna,Tristana,Warwick,Yorick,Fizz,Jhin,Master Yi,Sett,Yuumi,team1
192,Jinx,Kayn,Lux,Renekton,Viktor,Amumu,Ekko,Jhin,Leona,Urgot,team1
193,Jinx,Poppy,Sion,Thresh,Viktor,Brand,Darius,Kai'Sa,Vi,Yorick,team1
194,Ashe,Jax,Leona,Nasus,Yorick,LeBlanc,Nami,Senna,Shyvana,Urgot,team1
195,Miss Fortune,Nautilus,Neeko,Sion,Wukong,Miss Fortune,Nasus,Soraka,Udyr,Xin Zhao,team1
196,Blitzcrank,Jhin,Mordekaiser,Udyr,Vladimir,Alistar,Caitlyn,Heimerdinger,Jayce,Kayn,team1
197,Lucian,Malphite,Malzahar,Shen,Udyr,Blitzcrank,Miss Fortune,Trundle,Yasuo,Zoe,team2
198,Ashe,Jax,Senna,Vel'Koz,Volibear,Kha'Zix,Lucian,Soraka,Urgot,Yone,team2
199,Ezreal,Kha'Zix,Kled,Lux,Yasuo,Lee Sin,Malzahar,Senna,Taric,Urgot,team1
200,Aphelios,Galio,Renekton,Sett,Shaco,Annie,Blitzcrank,Gnar,Nocturne,Vayne,team2
201,Fizz,Kayn,Lux,Nautilus,Xayah,Ashe,Fiora,Garen,Master Yi,Pyke,team2
202,Darius,Kassadin,Lucian,Morgana,Vi,Galio,Kayn,Sivir,Thresh,Wukong,team2
203,Ekko,Karma,Miss Fortune,Warwick,Yasuo,Akali,Caitlyn,Jax,Malphite,Thresh,team2
204,Cho'Gath,Lucian,Talon,Tryndamere,Vel'Koz,Ashe,Fiora,Kha'Zix,Poppy,Veigar,team2
205,Caitlyn,Heimerdinger,Jax,Morgana,Urgot,Brand,Garen,Lucian,Miss Fortune,Udyr,team2
206,Aphelios,Heimerdinger,Kayn,Lux,Sion,Akali,Evelynn,Garen,Jinx,Nautilus,team1
207,Brand,Kai'Sa,Lux,Nasus,Nunu & Willump,Caitlyn,Morgana,Rengar,Swain,Vel'Koz,team1
208,Ekko,Garen,Katarina,Miss Fortune,Vel'Koz,Elise,Lucian,Morgana,Nasus,Yone,team2
209,Cho'Gath,Jhin,Nami,Olaf,Quinn,Jayce,Kayn,Lulu,Miss Fortune,Viktor,team1
210,Nidalee,Quinn,Yasuo,Yone,Zed,Gnar,Lee Sin,Thresh,Vayne,Viktor,team2
211,Akali,Ezreal,Nasus,Nocturne,Zyra,Ahri,Camille,Lee Sin,Pyke,Tristana,team1
212,Malphite,Morgana,Nasus,Tristana,Tryndamere,Caitlyn,Jax,Swain,Volibear,Yasuo,team2
213,Camille,Master Yi,Vi,Yasuo,Zoe,Akali,Amumu,Fiora,Pyke,Xayah,team2
214,Janna,Kai'Sa,Kled,Volibear,Yone,Akali,Jayce,Lucian,Nami,Nidalee,team2
215,Braum,Hecarim,Lucian,Sett,Yone,Dr. Mundo,Kai'Sa,Kayn,Yasuo,Yuumi,team2
216,Kai'Sa,Shen,Shyvana,Yone,Zed,Akali,Thresh,Vayne,Yasuo,Zac,team2
217,Blitzcrank,Jayce,Kalista,Rumble,Sett,Corki,Fiora,Karma,Lucian,Zac,team2
218,Darius,Hecarim,Nami,Sylas,Vayne,Akali,Aphelios,Ekko,Lulu,Sett,team2
219,Akali,Blitzcrank,Jayce,Jhin,Zac,Aphelios,Garen,Kha'Zix,Ryze,Thresh,team1
220,Darius,Ekko,Jarvan IV,Lux,Miss Fortune,Caitlyn,Kayle,Sona,Volibear,Yone,team1
221,Alistar,Azir,Jayce,Jinx,Rek'Sai,Kled,Lucian,Lulu,Sett,Yone,team2
222,Aphelios,Darius,Kayn,LeBlanc,Thresh,Galio,Rengar,Senna,Volibear,Zilean,team2
223,Ashe,Braum,Fiddlesticks,Malphite,Urgot,Elise,Leona,Miss Fortune,Nasus,Yasuo,team1
224,Ashe,Lee Sin,Senna,Twisted Fate,Yorick,Alistar,Kayn,Lucian,Poppy,Veigar,team1
225,Ekko,Kai'Sa,Lux,Olaf,Yorick,Ashe,Orianna,Sett,Urgot,Vi,team1
226,Bard,Ezreal,Kayn,Rengar,Ziggs,Ashe,Fiddlesticks,Lux,Riven,Urgot,team1
227,Alistar,Darius,Lee Sin,Tristana,Veigar,Ezreal,Mordekaiser,Nautilus,Quinn,Sylas,team1
228,Jhin,Lux,Vi,Vladimir,Yasuo,Aatrox,Kha'Zix,Leona,Shen,Vayne,team1
229,Graves,Jinx,LeBlanc,Maokai,Sona,Akali,Morgana,Nami,Vayne,Vi,team2
230,Ekko,Jax,Jhin,Nautilus,Rammus,Aatrox,Janna,Kai'Sa,Sylas,Teemo,team1
231,Ashe,Garen,Irelia,Shyvana,Thresh,Ezreal,Karma,Kayle,Shaco,Sion,team2
232,Darius,Jarvan IV,Kassadin,Lucian,Lulu,Ashe,Lillia,Senna,Sett,Yone,team2
233,Hecarim,Kai'Sa,Mordekaiser,Syndra,Vel'Koz,Aphelios,Graves,Morgana,Shen,Sylas,team1
234,Irelia,Kayle,Miss Fortune,Sona,Volibear,Akali,Caitlyn,Kayn,Senna,Tristana,team1
235,Ekko,Jhin,Maokai,Mordekaiser,Veigar,Malphite,Nautilus,Sivir,Yone,Zoe,team1
236,Brand,Heimerdinger,Jhin,Master Yi,Tahm Kench,Ashe,Garen,Lulu,Xin Zhao,Yone,team1
237,Amumu,Blitzcrank,Darius,Ezreal,Yone,Jinx,Lillia,Nautilus,Shen,Zed,team2
238,Akali,Jax,Senna,Tristana,Wukong,Ashe,Jarvan IV,Katarina,Lux,Urgot,team1
